Variable,類別,季_原始β,季_標準化β,季_p,季_Sig,年_原始β,年_標準化β,年_p,年_Sig
EPS,基本面,0.0153,0.0063,0.1471,,0.2722,0.0388,0.0,***
ROE,基本面,-0.003,-0.0025,0.5745,,0.1431,0.0401,0.0,***
OM,基本面,-0.0023,-0.0084,0.0138,**,-0.0494,-0.0323,0.0,***
FCF,基本面,-0.0026,-0.0186,0.0,***,-0.0076,-0.013,0.0331,**
BIAS,技術面,-0.0022,-0.0096,0.002,***,0.0514,0.0448,0.0,***
PPO,技術面,3.4783,0.7675,0.0,***,61.1075,0.8768,0.0,***
K,技術面,-0.0219,-0.0187,0.0,***,-0.5107,-0.0598,0.0,***
RSI,技術面,0.1347,0.1674,0.0,***,0.275,0.082,0.0,***
SIZE,控制,-0.1547,-0.0202,0.0,***,-1.9052,-0.0571,0.0,***
LEV,控制,0.0062,0.0105,0.0013,***,0.0716,0.0279,0.0,***
